DCE_ID	Hits
>753-S-l	7
>754-S-r	1
>755-S-l	13
>756-A-l	2
>756-A-r	9
>756-S-l	354
>756-S-r	399
>757-A-l	3
>757-S-l	31
>758-A-l	78
>758-S-l	401
>759-A-l	15
>760-S-l	82
>761-S-l	46
>762-S-l	14
>763-A-l	4
>763-S-l	18
>765-S-r	17
>766-S-l	46
>767-S-l	3
>772-S-l	205
>773-A-l	10
>773-S-l	115
>774-A-l	1
>774-S-l	11
>775-A-l	9
>775-S-l	3
>776-A-l	2
>776-S-l	3
>777-S-l	89
>779-A-l	708
>779-S-l	2
>780-S-l	167
>781-S-l	17
>782-A-l	4
>782-S-l	17
>783-A-l	36
>786-S-l	1
>788-A-r	26
>789-A-l	33
>789-S-l	8
>791-A-r	1
>791-S-r	45
>792-A-l	2
>792-S-l	66
>793-S-r	12
>795-A-l	2
>795-S-l	179
>796-A-l	16
>796-S-l	24
>797-S-l	12
>798-S-l	55
>801-A-l	71
>802-A-l	34
>802-S-l	33
>803-S-l	32
>804-S-l	92
>805-S-l	72
>806-S-l	3
>807-A-l	1
>807-S-l	68
>808-S-l	151
>809-A-l	216
>809-S-l	116
>810-S-l	12
>811-S-l	12
>812-A-r	1
>813-A-l	1
>813-S-l	9
>814-S-r	13
>815-S-l	1
>820-S-l	9
>821-A-l	10
>821-S-l	167
>822-S-l	100
>823-A-r	1
>823-S-r	3
>824-A-l	1
>824-S-l	10
>825-A-l	3
>825-S-l	54
>826-S-r	110
>827-S-l	6
>828-A-r	5
>828-S-r	23
>829-S-l	456
>831-S-l	13
>833-A-r	1
>833-S-r	182
>834-A-l	37
>835-A-l	4
>835-S-l	50
>836-A-l	41
>836-S-l	82
>837-A-l	1
>837-S-l	2
>838-A-l	5
>838-S-l	463
>839-A-l	3
>841-S-l	7
>842-A-l	1
>842-S-l	19
>843-S-l	33
>845-S-l	2
>845-S-r	2
>846-A-l	195
>847-A-l	52
>847-S-l	21
>848-A-r	1
>848-S-r	27
>849-A-l	54
>850-A-r	1
>851-S-l	20
>852-S-l	60
>853-S-l	50
>854-A-r	5
>854-S-r	2
>855-A-l	24
>855-S-l	28
>856-A-l	12
>856-S-l	4
>857-A-l	26
>858-A-l	1
>858-S-l	19
>859-A-l	4
>859-S-l	21
>862-S-r	2
>863-S-l	5
>864-S-l	5
>865-A-l	1
>865-S-l	5
>866-S-l	5
>867-A-l	111
>867-S-l	33
>868-A-l	1
>868-S-l	5
>869-A-l	2
>869-A-r	5
>870-S-r	1
>873-A-l	10
>874-A-l	17
>875-A-r	1
>875-S-r	4
>876-A-l	7
>877-A-r	1
>878-S-l	13
>879-S-l	1
>880-S-l	2
>881-A-r	2
>882-S-r	20
>883-A-l	5
>884-A-l	16
>884-S-l	75
>885-A-l	3
>885-S-l	66
>886-S-l	25
>887-S-l	1
>888-S-l	2
>889-A-l	6
>889-A-r	8
>889-S-l	116
>889-S-r	88
>890-S-r	10
>891-A-l	36
>891-S-l	1
>893-A-l	65
>893-S-l	5
>894-S-l	5
>895-A-l	1
>895-S-l	33
>896-A-l	2
>896-S-l	30
>897-A-l	8
>897-S-l	9
>898-A-l	1
>898-S-l	20
>899-A-r	2
>899-S-l	23
>899-S-r	80
>900-A-l	3
>900-S-l	80
>901-S-r	13
>902-A-l	18
>902-S-l	15
>904-A-l	361
>904-S-l	27
>905-A-l	2
>905-S-l	7
>906-S-r	3
>907-S-l	7
>908-A-l	2
>908-S-l	21
>909-A-l	38
>910-S-l	73
>911-S-l	21
>912-S-l	55
>915-A-l	8
>915-S-l	4
>921-S-l	4
>922-S-l	29
>923-A-l	3
>923-S-l	26
>924-A-l	2
>924-S-l	1
>925-A-l	31
>925-S-l	1
>926-A-l	5
>926-S-l	31
>927-A-l	2
>927-S-l	8
>928-A-l	7
>928-A-r	23
>928-S-l	82
>928-S-r	62
>929-A-l	23
>929-S-l	89
>930-A-l	2
>930-S-l	89
>931-A-r	73
>934-A-r	10
>934-S-l	44
>934-S-r	58
>935-A-l	11
>935-S-l	77
>939-S-l	2
>940-A-l	12
>940-S-l	286
>942-S-l	79
